feature,importance_gain,importance_split
close_ret_last1h,24680.98624897003,63
close_range_pct,13514.466995239258,47
overnight_positive_rate60,7974.423599243164,34
close_vs_open_day,6003.633857250214,50
overnight_positive_rate20,4740.43120765686,38
close_to_vwap,3654.1135063171387,47
vix_prev_close,3166.9843578338623,47
yf_daily_ret_cc_sum,3064.5600118637085,22
last_hour_above_vwap,2933.1041193008423,30
yf_daily_ret_cc_mean,2370.7125148773193,19
close_drive,2030.5253148078918,34
open_pm_to_vwap_am,1733.26216506958,26
vol_above_vwap_pct,1643.2948913574219,25
yf_daily_gap_open_prev_close_sum,1626.8133087158203,11
usdidr_prev_close,1567.5402636528015,29
vix_5d_avg,1365.3801137208939,32
gap_up2_followthrough_freq_20d,1199.8273010253906,10
yf_daily_ret_oc_sum,1028.3431253433228,10
yf_daily_ret_oc_mean,908.1036014556885,9
ihsg_close_ma20_ratio,870.4386348724365,19
overnight_positive_rate5,845.5488338470459,14
overnight_worst_5d,833.0901770591736,13
ihsg_ma_200,777.690819144249,26
overnight_ret_ma5,771.4335322380066,24
gap_down2_freq_5d,616.1811265945435,9
ihsg_ma_100,594.304310798645,19
usdidr_5d_return,568.7737140655518,19
yf_daily_gap_open_prev_close_mean,541.9045133590698,6
vwap_trend,532.0398330688477,17
ihsg_ma_5,515.0527210235596,19
ihsg_ma_20,465.7227964401245,14
gap_up2_freq_20d,448.4266948699951,9
overnight_ret_ma60,431.70256090164185,20
overnight_p10_20d,415.9620876312256,17
ihsg_prev_return,364.2565965652466,13
gap_up2_followthrough_freq_60d,355.6137366294861,11
overnight_p10_5d,349.6927909851074,7
ihsg_prev_close,338.2186802625656,19
usdidr_prev_return,330.07777166366577,15
gap_down2_freq_60d,250.7641921043396,15
nikkei_prev_return,250.4463710784912,13
gap_down2_freq_20d,249.4550018310547,10
overnight_ret_ma20,236.3693299293518,12
yf_daily_range_pct_mean,223.0044002532959,4
ihsg_close_ma5_ratio,201.4653091430664,9
gapdown_severe_freq_20d,200.0262107849121,6
gap_up2_freq_5d,184.88358688354492,4
