feature,importance_gain,importance_split
pre14_spread_cost_est,91985.72859191895,18
pre14_range_pct,43096.990310668945,22
pre14_close_vs_open9,37777.89851760864,18
pre14_tick_size,31596.174560546875,9
pre14_market_cost_est,21686.802552223206,7
pre14_tick_pct,17768.07940673828,7
pre14_pm_open_to_vwap_am,10628.365203857422,2
pre14_vwap,10180.083923339844,9
gap_down2_freq_20d,9785.823162078857,9
pre14_close_to_vwap,9231.124477386475,17
pre14_turnover_until14,7178.8719482421875,6
yf_daily_ret_cc_mean,6465.082901000977,12
gap_up2_freq_20d,5890.767196655273,6
gap_up2_freq_60d,5576.244979858398,8
gap_up2_followthrough_freq_60d,5234.447906494141,8
yf_daily_range_pct_mean,4249.1137771606445,7
gap_down2_freq_60d,3385.690948486328,2
gap_up2_freq_5d,2679.6290283203125,3
ihsg_prev_close,2562.2314405441284,7
usdidr_prev_close,2469.4224605560303,8
pre14_turnover_until14_ratio_20d,2451.538604736328,11
overnight_p10_20d,2357.3250122070312,6
yf_daily_range_ma_5_mean,2327.539203643799,7
gapdown_freq_60d,2185.437602996826,5
vix_prev_close,2169.7179794311523,6
pre14_volume_until14,2145.7010192871094,5
yf_daily_ret_cc_sum,1800.8880004882812,3
yf_daily_prev_close_mean,1800.2000122070312,2
gap_down2_freq_5d,1684.4142227172852,6
gapdown_severe_freq_60d,1677.4581336975098,7
overnight_p10_5d,1675.0039978027344,3
pre14_vol_above_vwap_pct,1483.1642608642578,3
gap_up2_followthrough_freq_5d,1348.0540390014648,2
overnight_ret_ma60,1330.2339553833008,3
yf_daily_range_ma_60_mean,1265.833999633789,3
ihsg_close_ma20_ratio,1244.6313247680664,5
yf_daily_range_z_60_sum,1109.9000244140625,1
yf_daily_close_z_5_mean,1108.4000244140625,1
overnight_ret_ma20,999.75,3
pre14_volume_14h_ratio_to_avg_hourly,990.5469970703125,2
flow_sell_freq_mean,952.698974609375,1
yf_daily_close_z_20_mean,854.8699798583984,3
yf_daily_gap_open_prev_close_mean,723.6792106628418,2
pre14_ret_14h,711.4281573295593,10
gapdown_severe_freq_20d,676.3109741210938,1
yf_daily_high_mean,670.7139892578125,2
overnight_positive_rate5,650.2219848632812,2
nasdaq_prev_return,627.376895904541,3
yf_daily_close_mean,591.2959899902344,3
pre14_vwap_trend,579.2030029296875,2
overnight_positive_rate60,573.9010162353516,2
pre14_ret_11_to_14,557.7418975830078,3
pre14_volume_until14_ratio_20d,545.1980895996094,3
ihsg_ma_20,544.4093017578125,3
yf_daily_range_z_20_mean,544.2890014648438,1
overnight_positive_rate20,533.5949935913086,2
yf_daily_volume_ma_5_mean,528.9509887695312,2
overnight_ret_ma5,524.6873931884766,3
overnight_worst_60d,523.1069107055664,3
ihsg_prev_return,518.9690017700195,3
pre14_volume_14h,490.3687057495117,4
yf_daily_range_ma_20_mean,481.6300048828125,1
yf_daily_volume_velocity_20_sum,475.58599853515625,1
gap_up2_followthrough_freq_20d,467.3659973144531,1
yf_daily_gap_open_prev_close_sum,453.7539978027344,3
yf_daily_close_ma_5_mean,453.46871185302734,2
overnight_worst_20d,443.96549224853516,3
overnight_p10_60d,439.5999984741211,3
yf_daily_close_z_20_sum,409.77099609375,1
yf_daily_close_ma_60_mean,314.7099914550781,2
ihsg_ma_5,310.0444030761719,3
overnight_worst_5d,298.5799865722656,1
yf_daily_ret_oc_mean,284.86100006103516,2
localfund_buy_freq_std30,256.3479919433594,1
yf_daily_close_ma_60_sum,253.2030029296875,1
yf_daily_close_z_60_mean,252.375,1
vix_5d_avg,229.07729721069336,3
yf_daily_volume_mean,226.1009979248047,1
xl_buy_freq_ma5,225.99099349975586,2
tfl_net_flow_ratio_ma_5_mean,218.52000427246094,1
yf_daily_volume_velocity_60_sum,213.58399963378906,1
flow_net_buy_per_trade_sum,212.41700744628906,1
yf_daily_close_ma_20_mean,191.30099487304688,1
localfund_buy_freq_mean,187.6929931640625,1
pre14_close_above_vwap,184.7740020751953,1
