feature,importance_gain,importance_split
yf_daily_high_mean,2647.8719787597656,7
ihsg_prev_close,1753.6227569580078,8
usdidr_prev_close,1211.957187652588,5
ihsg_close_ma20_ratio,744.5749969482422,4
yf_daily_ret_cc_mean,704.1630096435547,6
vix_prev_close,658.5238876342773,3
ihsg_ma_200,534.2938079833984,5
yf_daily_range_pct_mean,522.2168979644775,6
ihsg_prev_return,432.9378957748413,3
usdidr_prev_return,424.95201110839844,2
yf_daily_close_mean,326.2929992675781,1
yf_daily_volume_velocity_20_mean,325.62599182128906,2
ihsg_close_ma5_ratio,322.4791946411133,2
ihsg_ma_100,287.38149642944336,3
usdidr_5d_return,277.2698974609375,4
yf_daily_range_pct_sum,258.2406997680664,5
ihsg_ma_5,217.85199737548828,2
nasdaq_prev_return,206.6523060798645,5
yf_daily_close_ma_20_mean,105.83799743652344,1
yf_daily_ret_cc_sum,92.7261962890625,1
yf_daily_range_ma_5_sum,75.29679870605469,2
sq_flow_churn_ratio,53.75299835205078,1
yf_daily_range_ma_20_mean,52.87710189819336,3
yf_daily_low_sum,50.97999954223633,1
yf_daily_range_z_5_mean,34.0968017578125,1
yf_daily_range_ma_20_sum,22.071699142456055,1
yf_daily_close_z_5_sum,17.259000778198242,1
cvd_5d_norm,15.933699607849121,1
tfl_churn_ratio_ma_5_sum,12.916099548339844,1
yf_daily_close_z_60_mean,8.43727970123291,1
flow_total_trades_sum,0.0,0
flow_total_trades_mean,0.0,0
flow_churn_ratio_sum,0.0,0
flow_churn_ratio_mean,0.0,0
ctx_broker_ticker_specificity_sum,0.0,0
ctx_broker_ticker_specificity_mean,0.0,0
ctx_broker_market_share_sum,0.0,0
ctx_broker_market_share_mean,0.0,0
ctx_ticker_market_share_sum,0.0,0
ctx_ticker_market_share_mean,0.0,0
ctx_broker_net_buy_rank_sum,0.0,0
ctx_broker_net_buy_rank_mean,0.0,0
tfl_net_buy_ma_5_sum,0.0,0
tfl_net_buy_ma_5_mean,0.0,0
tfl_net_buy_velocity_60_mean,0.0,0
tfl_net_buy_velocity_60_sum,0.0,0
tfl_net_buy_z_60_mean,0.0,0
