feature,importance_gain,importance_split
nasdaq_prev_return,1080.018340408802,26
ihsg_prev_return,994.7012827396393,10
ihsg_ma_5,818.5666046142578,8
usdidr_prev_close,618.5934066772461,3
nikkei_prev_return,549.1059055328369,7
vix_5d_avg,375.85162821412086,7
vix_prev_close,334.8153018951416,2
ihsg_close_ma20_ratio,282.6442985534668,3
ihsg_ma_100,269.1070976257324,3
ihsg_ma_200,248.78600311279297,2
usdidr_prev_return,156.63290214538574,3
ihsg_prev_close,116.74879837036133,3
ihsg_ma_20,89.1050033569336,1
usdidr_5d_return,71.48889827728271,3
ihsg_close_ma5_ratio,25.211241006851196,2
overnight_ret_ma5,0.0,0
overnight_ret_ma20,0.0,0
overnight_ret_ma60,0.0,0
overnight_positive_rate5,0.0,0
overnight_positive_rate20,0.0,0
overnight_positive_rate60,0.0,0
gapdown_freq_5d,0.0,0
gapdown_freq_20d,0.0,0
gapdown_freq_60d,0.0,0
gapdown_severe_freq_5d,0.0,0
gapdown_severe_freq_20d,0.0,0
gapdown_severe_freq_60d,0.0,0
gap_up2_freq_5d,0.0,0
gap_up2_freq_20d,0.0,0
gap_up2_freq_60d,0.0,0
gap_down2_freq_5d,0.0,0
gap_down2_freq_20d,0.0,0
gap_down2_freq_60d,0.0,0
gap_up2_down2_edge_5d,0.0,0
gap_up2_down2_edge_20d,0.0,0
gap_up2_down2_edge_60d,0.0,0
gap_up2_followthrough_freq_5d,0.0,0
gap_up2_followthrough_freq_20d,0.0,0
gap_up2_followthrough_freq_60d,0.0,0
overnight_worst_5d,0.0,0
overnight_worst_20d,0.0,0
overnight_worst_60d,0.0,0
overnight_p10_5d,0.0,0
overnight_p10_20d,0.0,0
overnight_p10_60d,0.0,0
pre14_ret_14h,0.0,0
pre14_ret_11_to_14,0.0,0
pre14_close_vs_open9,0.0,0
pre14_range_pct,0.0,0
pre14_orb_range_pct,0.0,0
pre14_close_vs_orb_mid,0.0,0
pre14_close_vs_orb_high,0.0,0
pre14_close_vs_orb_low,0.0,0
pre14_orb_position,0.0,0
pre14_orb_breakout_strength,0.0,0
pre14_orb_breakdown_strength,0.0,0
pre14_pm_high_vs_orb_high,0.0,0
pre14_pm_high_breakout_strength,0.0,0
pre14_close_orb_high_hold,0.0,0
pre14_orb_body_pct,0.0,0
pre14_orb_upper_wick_pct,0.0,0
pre14_orb_lower_wick_pct,0.0,0
pre14_close_above_orb_high,0.0,0
pre14_close_below_orb_low,0.0,0
pre14_pm_high_above_orb_high,0.0,0
pre14_vwap,0.0,0
pre14_close_to_vwap,0.0,0
pre14_vwap_trend,0.0,0
pre14_close_above_vwap,0.0,0
pre14_pm_drive,0.0,0
pre14_vol_above_vwap_pct,0.0,0
pre14_pm_open_to_vwap_am,0.0,0
pre14_pm_high_vs_close11,0.0,0
pre14_pm_low_vs_close11,0.0,0
pre14_pm_open_vs_close11,0.0,0
pre14_pm_high_close_spread,0.0,0
pre14_volume_until14,0.0,0
pre14_turnover_until14,0.0,0
pre14_am_volume,0.0,0
pre14_pm_volume,0.0,0
pre14_am_turnover,0.0,0
pre14_pm_turnover,0.0,0
pre14_pm_am_volume_ratio,0.0,0
pre14_pm_am_turnover_ratio,0.0,0
pre14_pm_am_volume_rate_ratio,0.0,0
pre14_pm_am_turnover_rate_ratio,0.0,0
pre14_volume_14h,0.0,0
pre14_volume_14h_ratio_to_avg_hourly,0.0,0
pre14_am_volume_to_dailyvol_5d,0.0,0
pre14_am_volume_to_dailyvol_10d,0.0,0
pre14_am_volume_to_dailyvol_20d,0.0,0
pre14_until14_volume_to_dailyvol_5d,0.0,0
pre14_until14_volume_to_dailyvol_10d,0.0,0
pre14_until14_volume_to_dailyvol_20d,0.0,0
pre14_am_turnover_to_dailyturnover_5d,0.0,0
pre14_am_turnover_to_dailyturnover_10d,0.0,0
pre14_am_turnover_to_dailyturnover_20d,0.0,0
pre14_until14_turnover_to_dailyturnover_5d,0.0,0
pre14_until14_turnover_to_dailyturnover_10d,0.0,0
pre14_until14_turnover_to_dailyturnover_20d,0.0,0
pre14_volume_until14_ratio_20d,0.0,0
pre14_turnover_until14_ratio_20d,0.0,0
pre14_tick_size,0.0,0
pre14_tick_pct,0.0,0
pre14_am_open_low_dist,0.0,0
pre14_pm_open_low_dist,0.0,0
pre14_am_open_is_low,0.0,0
pre14_pm_open_is_low,0.0,0
pre14_pm_close_near_high,0.0,0
pre14_spread_cost_est,0.0,0
pre14_market_cost_est,0.0,0
