feature,importance_gain,importance_split
pre14_tick_pct,11228.837558746338,31
last_hour_above_vwap,10057.045799255371,31
close_to_vwap,9180.485631942749,63
close_range_pct,7851.221834182739,35
close_drive,4705.153560638428,31
pre14_close_vs_orb_low,3866.4029874801636,32
pre14_spread_cost_est,3624.236235141754,11
pre14_close_vs_orb_mid,3364.7463274002075,19
pre14_vwap,3072.298454284668,9
pre14_range_pct,2736.5173301696777,13
ihsg_prev_close,2132.7637062072754,23
pre14_turnover_until14,1858.0610121488571,26
pre14_close_vs_open9,1764.7686862945557,16
pre14_close_to_vwap,1660.6989269256592,16
pre14_pm_high_breakout_strength,1463.1837005615234,6
vix_prev_close,1293.2841796875,22
pre14_orb_range_pct,1207.5993041992188,16
ihsg_close_ma20_ratio,1187.8298283219337,10
pre14_orb_position,962.8575553894043,8
vol_above_vwap_pct,934.9368085861206,8
ihsg_ma_100,900.8602828979492,16
pre14_vwap_trend,801.5405988693237,5
pre14_am_turnover,795.7244358062744,21
nikkei_prev_return,763.4726905822754,12
pre14_pm_close_near_high,730.9541974067688,14
usdidr_prev_close,710.0621867179871,8
ihsg_prev_return,709.6837949752808,12
max_return_20d_tminus1,696.3745970726013,22
ihsg_ma_5,619.900800704956,11
pre14_pm_turnover,503.451696395874,8
vwap_trend,463.7362995147705,9
nasdaq_prev_return,462.3089962005615,9
vix_5d_avg,393.5327455997467,9
pre14_pm_volume,389.43188095092773,8
pre14_pm_high_close_spread,388.3240032196045,8
ihsg_ma_200,387.2678966522217,6
usdidr_5d_return,369.2841968536377,8
pre14_pm_high_vs_orb_high,359.2474994659424,8
max_return_5d_tminus1,358.8980474472046,12
open_pm_to_vwap_am,321.1710033416748,4
pre14_am_volume,305.3269829750061,9
ihsg_ma_20,284.5577507019043,8
pre14_orb_body_pct,236.65077447891235,8
pre14_close_orb_high_hold,231.49759674072266,2
pre14_volume_14h_ratio_to_avg_hourly,222.27249670028687,6
pre14_vol_above_vwap_pct,201.21747207641602,6
pre14_until14_volume_to_dailyvol_20d,201.18480110168457,9
pre14_orb_breakout_strength,190.1540069580078,1
pre14_turnover_until14_ratio_20d,180.6091709136963,7
localfund_netbuy_3d_sum,167.6653003692627,6
yf_daily_close_ma_60_mean,152.31190013885498,3
pre14_am_volume_to_dailyvol_10d,148.93074893951416,3
yf_daily_range_ma_5_mean,144.31079864501953,3
ihsg_close_ma5_ratio,140.23649883270264,4
pre14_volume_until14,140.08780097961426,5
pre14_close_vs_orb_high,133.11359977722168,3
pre14_volume_14h,132.99750351905823,3
pre14_pm_low_vs_close11,123.08320140838623,5
usdidr_prev_return,121.31505060195923,5
pre14_pm_am_turnover_ratio,118.8076982498169,4
yf_daily_range_ma_5_sum,106.32608096301556,4
yf_daily_volume_ma_20_sum,99.95359992980957,3
noara_streak_tminus1,96.91129779815674,3
pre14_pm_drive,86.80570030212402,3
flow_gross_turnover_mean,71.76490020751953,1
pre14_until14_turnover_to_dailyturnover_20d,70.93350219726562,2
tfl_net_buy_ma_60_mean,68.91399955749512,2
localfund_buy_freq_std30,67.0364990234375,1
pre14_ret_11_to_14,67.02930164337158,3
last_ara_return,65.94250011444092,4
yf_daily_open_mean,63.788198471069336,2
yf_daily_range_ma_20_sum,62.34260940551758,2
yf_daily_close_ma_20_mean,58.998199462890625,3
pre14_pm_high_vs_close11,58.86240196228027,3
flow_sell_freq_sum,57.268001556396484,1
yf_daily_range_ma_60_sum,56.030799865722656,2
pre14_close_above_vwap,54.279300689697266,1
pre14_am_volume_to_dailyvol_20d,54.20940017700195,1
pre14_orb_upper_wick_pct,50.82391929626465,4
pre14_pm_am_volume_ratio,46.6564998626709,2
flow_total_trades_sum,46.410400390625,1
pre14_pm_open_to_vwap_am,46.19069862365723,2
yf_daily_gap_open_prev_close_mean,45.22370147705078,1
pre14_until14_turnover_to_dailyturnover_5d,44.79454040527344,3
yf_daily_gap_open_prev_close_sum,44.10319900512695,1
pre14_volume_until14_ratio_20d,41.900400161743164,2
yf_daily_turnover_mean,38.56445074081421,2
pre14_am_volume_to_dailyvol_5d,38.46910095214844,1
yf_daily_close_ma_5_mean,37.199100494384766,2
bandar_abs_netbuy_sum,36.71689987182617,1
yf_daily_volume_ma_60_sum,35.683998107910156,1
yf_daily_volume_ma_5_mean,35.30080032348633,1
yf_daily_close_ma_20_sum,33.552799224853516,1
yf_daily_close_z_60_mean,33.233609199523926,3
pre14_am_turnover_to_dailyturnover_5d,32.34222984313965,2
ctx_broker_market_share_sum,31.367900848388672,1
pre14_market_cost_est,30.79960060119629,1
flow_churn_ratio_mean,29.968299865722656,1
yf_daily_close_z_5_mean,29.812520027160645,2
pre14_ret_14h,27.83609962463379,1
yf_daily_close_z_60_sum,26.03303050994873,2
pre14_until14_volume_to_dailyvol_5d,26.00748237967491,2
pre14_am_turnover_to_dailyturnover_10d,25.864700317382812,2
pre14_until14_turnover_to_dailyturnover_10d,25.686660528182983,3
tfl_net_flow_ratio_ma_60_sum,25.01449966430664,1
pre14_orb_lower_wick_pct,24.78860092163086,1
pre14_orb_breakdown_strength,23.6210994720459,1
yf_daily_range_z_60_mean,22.2677001953125,1
tfl_net_flow_ratio_ma_20_mean,21.427099227905273,1
yf_daily_range_z_60_sum,20.277000427246094,1
localfund_participation_ratio,19.404300689697266,1
tfl_net_flow_ratio_ma_20_sum,19.316499710083008,1
tfl_churn_ratio_ma_20_mean,19.180500030517578,1
yf_daily_open_sum,18.323200225830078,1
flow_net_buy_per_trade_mean,17.401100158691406,1
yf_daily_range_pct_sum,17.354799270629883,1
tfl_net_buy_z_5_sum,16.743900299072266,1
yf_daily_range_ma_60_mean,16.475799560546875,1
localfund_netbuy_std20,16.017799377441406,1
cvd_20d_norm,15.292799949645996,1
tfl_net_buy_z_20_mean,14.548999786376953,1
yf_daily_volume_ma_5_sum,14.305379867553711,2
yf_daily_ret_cc_sum,13.142999649047852,1
flow_total_net_buy_mean,12.894000053405762,1
pre14_pm_open_vs_close11,11.713120222091675,2
tfl_net_buy_velocity_60_mean,10.413200378417969,1
pre14_am_turnover_to_dailyturnover_20d,9.673069953918457,1
yf_daily_close_ma_60_sum,8.331910133361816,1
yf_daily_range_z_5_mean,7.174739837646484,1
yf_daily_range_ma_20_mean,6.8778698444366455,2
yf_daily_volume_velocity_60_mean,5.107260227203369,1
pre14_am_open_low_dist,4.837510108947754,1
yf_daily_range_z_20_mean,4.561920166015625,1
yf_daily_prev_close_mean,4.058189868927002,1
pre14_until14_volume_to_dailyvol_10d,3.392659902572632,1
flow_abs_net_buy_mean,2.260119915008545,1
yf_daily_low_sum,1.8646199703216553,1
flow_churn_ratio_sum,0.047384001314640045,1
ara_count_3d,0.0,0
pre14_close_above_orb_high,0.0,0
pre14_pm_high_above_orb_high,0.0,0
pre14_close_below_orb_low,0.0,0
ctx_broker_ticker_specificity_sum,0.0,0
was_ara_tminus1,0.0,0
ctx_broker_ticker_specificity_mean,0.0,0
ctx_broker_market_share_mean,0.0,0
ctx_ticker_market_share_sum,0.0,0
ctx_ticker_market_share_mean,0.0,0
flow_net_flow_ratio_sum,0.0,0
flow_net_flow_ratio_mean,0.0,0
flow_total_trades_mean,0.0,0
flow_net_buy_per_trade_sum,0.0,0
flow_total_net_buy_sum,0.0,0
flow_gross_turnover_sum,0.0,0
flow_buy_freq_sum,0.0,0
flow_buy_freq_mean,0.0,0
flow_sell_freq_mean,0.0,0
ara_count_20d,0.0,0
ara_count_60d,0.0,0
consecutive_ara_streak_tminus1,0.0,0
days_since_last_ara,0.0,0
yf_daily_volume_ma_20_mean,0.0,0
pd_flow_total_net_buy,0.0,0
flow_abs_net_buy_sum,0.0,0
pd_tfl_net_buy_velocity_20,0.0,0
pd_flow_net_flow_ratio,0.0,0
pd_flow_churn_ratio,0.0,0
pd_present,0.0,0
total_retail_net_buy,0.0,0
localfund_netbuy_sum,0.0,0
sq_flow_churn_ratio,0.0,0
sq_present,0.0,0
yp_flow_total_net_buy,0.0,0
yp_tfl_net_buy_z_20,0.0,0
yp_tfl_net_buy_velocity_20,0.0,0
yp_flow_net_flow_ratio,0.0,0
yp_flow_churn_ratio,0.0,0
yp_present,0.0,0
xc_tfl_net_buy_velocity_20,0.0,0
xc_flow_net_flow_ratio,0.0,0
xc_flow_churn_ratio,0.0,0
xc_present,0.0,0
sq_flow_total_net_buy,0.0,0
sq_tfl_net_buy_z_20,0.0,0
sq_tfl_net_buy_velocity_20,0.0,0
sq_flow_net_flow_ratio,0.0,0
mg_flow_total_net_buy,0.0,0
mg_tfl_net_buy_z_20,0.0,0
mg_tfl_net_buy_velocity_20,0.0,0
mg_flow_net_flow_ratio,0.0,0
mg_flow_churn_ratio,0.0,0
mg_present,0.0,0
xc_flow_total_net_buy,0.0,0
xc_tfl_net_buy_z_20,0.0,0
localfund_streak_buy_days,0.0,0
pd_tfl_net_buy_z_20,0.0,0
localfund_netbuy_ma20,0.0,0
localfund_netbuy_z20,0.0,0
localfund_buy_freq_ma30,0.0,0
localfund_netbuy_7d_sum,0.0,0
bandar_buy_freq_mean,0.0,0
bandar_concentration_hhi,0.0,0
bandar_top1_share,0.0,0
bandar_buy_freq_sum,0.0,0
localfund_buyer_ratio,0.0,0
localfund_consensus_strength,0.0,0
localfund_top1_share,0.0,0
localfund_top3_share,0.0,0
bandar_netbuy_sum,0.0,0
bandar_netbuy_mean,0.0,0
bandar_broker_count,0.0,0
bandar_top3_share,0.0,0
bandar_seller_broker_count,0.0,0
localfund_netbuy_mean,0.0,0
localfund_abs_netbuy_sum,0.0,0
localfund_broker_count,0.0,0
localfund_buyer_broker_count,0.0,0
localfund_seller_broker_count,0.0,0
localfund_buy_freq_sum,0.0,0
yf_daily_close_sum,0.0,0
yf_daily_close_mean,0.0,0
has_yf_1h_max,0.0,0
broker_count,0.0,0
buyer_broker_count,0.0,0
seller_broker_count,0.0,0
buyer_ratio,0.0,0
seller_ratio,0.0,0
bandar_buyer_broker_count,0.0,0
yf_daily_range_z_20_sum,0.0,0
yf_daily_volume_velocity_20_sum,0.0,0
yf_daily_volume_velocity_20_mean,0.0,0
yf_daily_volume_ma_60_mean,0.0,0
yf_daily_volume_velocity_60_sum,0.0,0
yf_daily_volume_velocity_5_sum,0.0,0
yf_daily_volume_velocity_5_mean,0.0,0
localfund_buy_freq_mean,0.0,0
localfund_concentration_hhi,0.0,0
overnight_ret_ma5,0.0,0
overnight_ret_ma20,0.0,0
overnight_ret_ma60,0.0,0
overnight_positive_rate5,0.0,0
overnight_positive_rate20,0.0,0
overnight_positive_rate60,0.0,0
cvd_10d_norm,0.0,0
cvd_20d,0.0,0
localfund_buy_freq_z30,0.0,0
localfund_buy_freq_ratio_to_ma30,0.0,0
close_ret_last1h,0.0,0
close_vs_open_day,0.0,0
cvd_5d,0.0,0
cvd_5d_norm,0.0,0
cvd_10d,0.0,0
gap_up2_followthrough_freq_20d,0.0,0
gap_up2_followthrough_freq_60d,0.0,0
overnight_worst_5d,0.0,0
overnight_worst_20d,0.0,0
overnight_worst_60d,0.0,0
overnight_p10_5d,0.0,0
overnight_p10_20d,0.0,0
yf_daily_range_z_5_sum,0.0,0
overnight_p10_60d,0.0,0
gap_up2_freq_60d,0.0,0
gap_down2_freq_20d,0.0,0
gap_down2_freq_5d,0.0,0
gap_up2_down2_edge_5d,0.0,0
gap_up2_down2_edge_20d,0.0,0
gap_up2_down2_edge_60d,0.0,0
gap_down2_freq_60d,0.0,0
gapdown_freq_5d,0.0,0
gapdown_freq_20d,0.0,0
gapdown_freq_60d,0.0,0
gapdown_severe_freq_5d,0.0,0
gapdown_severe_freq_20d,0.0,0
gapdown_severe_freq_60d,0.0,0
tfl_net_buy_velocity_5_sum,0.0,0
gap_up2_followthrough_freq_5d,0.0,0
tfl_net_buy_velocity_5_mean,0.0,0
yf_daily_close_z_5_sum,0.0,0
yf_daily_close_z_20_mean,0.0,0
yf_daily_close_z_20_sum,0.0,0
yf_daily_turnover_sum,0.0,0
yf_daily_close_ma_5_sum,0.0,0
yf_daily_volume_sum,0.0,0
yf_daily_range_pct_mean,0.0,0
yf_daily_volume_mean,0.0,0
yf_daily_prev_close_sum,0.0,0
yf_daily_ret_oc_mean,0.0,0
yf_daily_ret_oc_sum,0.0,0
yf_daily_ret_cc_mean,0.0,0
yf_daily_high_sum,0.0,0
yf_daily_high_mean,0.0,0
yf_daily_low_mean,0.0,0
tfl_net_flow_ratio_ma_60_mean,0.0,0
tfl_churn_ratio_ma_5_sum,0.0,0
tfl_churn_ratio_ma_5_mean,0.0,0
tfl_churn_ratio_ma_20_sum,0.0,0
tfl_churn_ratio_ma_60_sum,0.0,0
tfl_churn_ratio_ma_60_mean,0.0,0
tfl_net_buy_z_60_sum,0.0,0
tfl_net_buy_z_60_mean,0.0,0
tfl_net_buy_velocity_60_sum,0.0,0
tfl_net_flow_ratio_ma_5_sum,0.0,0
tfl_net_flow_ratio_ma_5_mean,0.0,0
tfl_net_buy_ma_20_sum,0.0,0
tfl_net_buy_ma_20_mean,0.0,0
tfl_net_buy_z_20_sum,0.0,0
tfl_net_buy_velocity_20_sum,0.0,0
tfl_net_buy_velocity_20_mean,0.0,0
tfl_net_buy_ma_60_sum,0.0,0
ctx_broker_net_buy_rank_sum,0.0,0
ctx_broker_net_buy_rank_mean,0.0,0
tfl_net_buy_ma_5_sum,0.0,0
tfl_net_buy_ma_5_mean,0.0,0
tfl_net_buy_z_5_mean,0.0,0
gap_up2_freq_5d,0.0,0
gap_up2_freq_20d,0.0,0
pre14_pm_am_volume_rate_ratio,0.0,0
pre14_tick_size,0.0,0
pre14_pm_open_low_dist,0.0,0
pre14_am_open_is_low,0.0,0
pre14_pm_open_is_low,0.0,0
pre14_pm_am_turnover_rate_ratio,0.0,0
ara_count_10d,0.0,0
ara_count_5d,0.0,0
